Specimen properties : Specimen label,"sample1"
Specimen properties : Diameter,"0.39900",mm
Specimen properties : Length,"14.33000",mm
Test : Rate 1,"5.00000",mm/min
Test : Start of hold value,"0.05000",mm/mm
Test : Delta,"180.00000",s

Extension,Load,Tensile stress,Time,PIP count,Tenacity,Tensile extension,Tensile strain (Extension)
(mm),(N),(MPa),(s),,(N/tex),(mm),(mm/mm)
"0.71667","2.04289","16.33840","15.89600","0.00000","2.04289","0.71667","0.05001"
"0.71667","2.03733","16.29396","15.99600","0.00000","2.03733","0.71667","0.05001"
"0.71667","2.03929","16.30964","16.09600","0.00000","2.03929","0.71667","0.05001"
"0.71667","2.03796","16.29896","16.19600","0.00000","2.03796","0.71667","0.05001"
"0.71667","2.02402","16.18746","16.29600","0.00000","2.02402","0.71667","0.05001"
"0.71667","2.02142","16.16670","16.39600","0.00000","2.02142","0.71667","0.05001"
"0.71667","2.02357","16.18386","16.49600","0.00000","2.02357","0.71667","0.05001"
"0.71667","2.02708","16.21199","16.59600","0.00000","2.02708","0.71667","0.05001"
"0.71667","2.01843","16.14273","16.69600","0.00000","2.01843","0.71667","0.05001"
"0.71667","2.01377","16.10550","16.79600","0.00000","2.01377","0.71667","0.05001"
"0.71667","2.01532","16.11790","16.89600","0.00000","2.01532","0.71667","0.05001"
"0.71667","2.01100","16.08338","16.99600","0.00000","2.01100","0.71667","0.05001"
"0.71667","2.00876","16.06540","17.09600","0.00000","2.00876","0.71667","0.05001"
"0.71667","2.00583","16.04203","17.19600","0.00000","2.00583","0.71667","0.05001"
"0.71667","2.00696","16.05107","17.29600","0.00000","2.00696","0.71667","0.05001"
"0.71667","2.00015","15.99658","17.39600","0.00000","2.00015","0.71667","0.05001"
"0.71667","1.99490","15.95459","17.49600","0.00000","1.99490","0.71667","0.05001"
"0.71667","1.99331","15.94190","17.59600","0.00000","1.99331","0.71667","0.05001"
"0.71667","1.98996","15.91507","17.69600","0.00000","1.98996","0.71667","0.05001"
"0.71667","1.99085","15.92222","17.79600","0.00000","1.99085","0.71667","0.05001"
"0.71667","1.98866","15.90467","17.89600","0.00000","1.98866","0.71667","0.05001"
"0.71667","1.98532","15.87793","17.99600","0.00000","1.98532","0.71667","0.05001"
"0.71667","1.98670","15.88902","18.09600","0.00000","1.98670","0.71667","0.05001"
"0.71667","1.97550","15.79943","18.19600","0.00000","1.97550","0.71667","0.05001"
"0.71667","1.98139","15.84657","18.29600","0.00000","1.98139","0.71667","0.05001"
"0.71667","1.97599","15.80338","18.39600","0.00000","1.97599","0.71667","0.05001"
"0.71667","1.97653","15.80766","18.49600","0.00000","1.97653","0.71667","0.05001"
"0.71667","1.97560","15.80022","18.59600","0.00000","1.97560","0.71667","0.05001"
"0.71667","1.96782","15.73797","18.69600","0.00000","1.96782","0.71667","0.05001"
"0.71667","1.97077","15.76158","18.79600","0.00000","1.97077","0.71667","0.05001"
"0.71667","1.95893","15.66689","18.89600","0.00000","1.95893","0.71667","0.05001"
"0.71667","1.95973","15.67330","18.99600","0.00000","1.95973","0.71667","0.05001"
"0.71667","1.95631","15.64596","19.09600","0.00000","1.95631","0.71667","0.05001"
"0.71667","1.95445","15.63108","19.19600","0.00000","1.95445","0.71667","0.05001"
