Specimen properties : Specimen label,""
Specimen properties : Diameter,"0.37600",mm
Specimen properties : Length,"12.02000",mm
Test : Rate 1,"5.00000",mm/min
Test : Start of hold value,"0.05000",mm/mm
Test : Duration,"180.00000",s

Extension,Load,Tensile stress,Time,PIP count,Tenacity,Tensile extension,Tensile strain (Extension)
(mm),(N),(MPa),(s),,(N/tex),(mm),(mm/mm)
"0.60083","1.02998","9.27603","15.40800","0.00000","1.02998","0.60083","0.04999"
"0.60083","1.02603","9.24044","15.50800","0.00000","1.02603","0.60083","0.04999"
"0.60083","1.02752","9.25390","15.60800","0.00000","1.02752","0.60083","0.04999"
"0.60083","1.02628","9.24275","15.70800","0.00000","1.02628","0.60083","0.04999"
"0.60083","1.02310","9.21407","15.80800","0.00000","1.02310","0.60083","0.04999"
"0.60083","1.02831","9.26105","15.90800","0.00000","1.02831","0.60083","0.04999"
"0.60083","1.01982","9.18459","16.00800","0.00000","1.01982","0.60083","0.04999"
"0.60083","1.02394","9.22167","16.10800","0.00000","1.02394","0.60083","0.04999"
"0.60083","1.02027","9.18856","16.20800","0.00000","1.02027","0.60083","0.04999"
"0.60083","1.01676","9.15703","16.30800","0.00000","1.01676","0.60083","0.04999"
"0.60062","1.00949","9.09155","16.40800","0.00000","1.00949","0.60062","0.04997"
"0.60062","1.01181","9.11240","16.50800","0.00000","1.01181","0.60062","0.04997"
"0.60062","1.01916","9.17864","16.60800","0.00000","1.01916","0.60062","0.04997"
"0.60062","1.01684","9.15775","16.70800","0.00000","1.01684","0.60062","0.04997"
"0.60062","1.01798","9.16798","16.80800","0.00000","1.01798","0.60062","0.04997"
"0.60062","1.01577","9.14812","16.90800","0.00000","1.01577","0.60062","0.04997"
"0.60062","1.00696","9.06872","17.00800","0.00000","1.00696","0.60062","0.04997"
"0.60062","1.01030","9.09882","17.10800","0.00000","1.01030","0.60062","0.04997"
"0.60062","1.01326","9.12551","17.20800","0.00000","1.01326","0.60062","0.04997"
"0.60062","1.00622","9.06210","17.30800","0.00000","1.00622","0.60062","0.04997"
"0.60062","1.00469","9.04826","17.40800","0.00000","1.00469","0.60062","0.04997"
"0.60062","0.99861","8.99349","17.50800","0.00000","0.99861","0.60062","0.04997"
"0.60062","1.00571","9.05745","17.60800","0.00000","1.00571","0.60062","0.04997"
"0.60062","1.00848","9.08239","17.70800","0.00000","1.00848","0.60062","0.04997"
